title,content warnings,date finished,date watched,favourite?,feels,genre,notes,progress,rating,"rating ",runtime,status,summary,tags,total,trailer,type,watched
transporter,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,93 min,watchlist,a professional driver becomes involved in criminal plots while delivering packages,"action, crime, thriller",,[https://www.youtube.com/watch?v=0cW5P7n7Nro](https://www.youtube.com/watch?v=0cW5P7n7Nro),movie/film,
transporter 2,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,87 min,watchlist,the driver is tasked with protecting a child from kidnappers while confronting criminals,"action, crime, thriller",,[https://www.youtube.com/watch?v=sm7NcBCr3c4](https://www.youtube.com/watch?v=sm7NcBCr3c4),movie/film,
the expendables,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,103 min,watchlist,a group of mercenaries takes on dangerous missions against ruthless enemies,"action, crime, thriller",,[https://www.youtube.com/watch?v=qX8i1PykqXw](https://www.youtube.com/watch?v=qX8i1PykqXw),movie/film,
the expendables 2,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,103 min,watchlist,the mercenaries reunite to confront a dangerous arms dealer,"action, crime, thriller",,[https://www.youtube.com/watch?v=ss3PdQDd4HQ](https://www.youtube.com/watch?v=ss3PdQDd4HQ),movie/film,
the expendables 3,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,126 min,watchlist,the team faces a former ally turned villain threatening global security,"action, crime, thriller",,[https://www.youtube.com/watch?v=jIVaw2f2k4M](https://www.youtube.com/watch?v=jIVaw2f2k4M),movie/film,
the italian job (2003),[https://www.youtube.com/watch?v=V4jR6J7vTPA](https://www.youtube.com/watch?v=V4jR6J7vTPA),,,No,tense,"action and adventure, thriller",,0%,,,111 min,watchlist,"violence,crime themes,coarse language","action, heist, thriller",,,movie/film,
the protector (2005),violence,,,No,"dramatic, tense",action and adventure,,0%,,,115 min,watchlist,a man travels to thailand to rescue his kidnapped elephant from criminals,"action, crime, martial arts",,[https://www.youtube.com/watch?v=Vg6PYYs8bjE](https://www.youtube.com/watch?v=Vg6PYYs8bjE),movie/film,
beast of no nation,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama",,0%,,,137 min,watchlist,a young boy becomes a child soldier amidst civil war and must survive brutal conditions,"action, drama, war",,[https://www.youtube.com/watch?v=PLkfZlJnoEA](https://www.youtube.com/watch?v=PLkfZlJnoEA),movie/film,
top gun: maverick,[https://www.youtube.com/watch?v=giXco2jaZ_4](https://www.youtube.com/watch?v=giXco2jaZ_4),,,No,tense,"action and adventure, drama",,0%,,,131 min,watchlist,"violence,dramatic,war themes","action, drama, war",,,movie/film,
top gun,violence,,,No,"dramatic, romantic","action and adventure, drama",,0%,,,110 min,watchlist,a young pilot competes in elite fighter training while navigating romance,"action, drama, romance",,[https://www.youtube.com/watch?v=qrk5LLw6kAY](https://www.youtube.com/watch?v=qrk5LLw6kAY),movie/film,
escape from new york,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,99 min,watchlist,a convict is sent to rescue the president from a futuristic maximum-security new york,"action, crime, thriller",,[https://www.youtube.com/watch?v=vXxa3XcZIgA](https://www.youtube.com/watch?v=vXxa3XcZIgA),movie/film,
blade,[https://www.youtube.com/watch?v=aokqbXvQJAE](https://www.youtube.com/watch?v=aokqbXvQJAE),,,No,"dramatic, tense","action and adventure, horror",,0%,,,120 min,watchlist,"violence,intense violence,horror themes","action, superhero",,,movie/film,
blade ii,"horror themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, horror",,0%,,,117 min,watchlist,blade forms an uneasy alliance to combat a new breed of vampires,"action, superhero",,[https://www.youtube.com/watch?v=GxYbA_CrQ1k](https://www.youtube.com/watch?v=GxYbA_CrQ1k),movie/film,
the hunter,[https://www.youtube.com/watch?v=e5kh7BCw4B4](https://www.youtube.com/watch?v=e5kh7BCw4B4),,,No,"dramatic, tense","action and adventure, drama",,0%,,,104 min,watchlist,"violence,dramatic","action, crime, drama",,,movie/film,
oni: the sword of fury,[https://www.youtube.com/watch?v=Yt5I2vIoY6g](https://www.youtube.com/watch?v=Yt5I2vIoY6g),,,No,tense,action and adventure,,0%,,,102 min,watchlist,"violence,martial arts","action, martial arts, thriller",,,movie/film,
kick-ass,"coarse language, intense violence, violence",,,No,"dramatic, funny","action and adventure, comedy",,0%,,,117 min,watchlist,"a teenager decides to become a real-life superhero, facing criminals and dangerous situations","action, comedy, superhero",,[https://www.youtube.com/watch?v=J3s1H1C0VJA](https://www.youtube.com/watch?v=J3s1H1C0VJA),movie/film,
baby driver,[https://www.youtube.com/watch?v=z2z857RSfhk](https://www.youtube.com/watch?v=z2z857RSfhk),,,No,funny,"action and adventure, comedy, crime",,0%,,,113 min,watchlist,"violence,crime themes,coarse language","action, crime, thriller",,,movie/film,
argo,[https://www.youtube.com/watch?v=J9X6bJ6TQb8](https://www.youtube.com/watch?v=J9X6bJ6TQb8),,,No,"dramatic, tense","action and adventure, drama, thriller",,0%,,,120 min,watchlist,"violence,dramatic","action, drama, thriller",,,movie/film,
13 hours,[https://www.youtube.com/watch?v=HsrIjV0h6qI](https://www.youtube.com/watch?v=HsrIjV0h6qI),,,No,"dramatic, tense","action and adventure, drama",,0%,,,144 min,watchlist,"violence,intense violence,war themes","action, drama, war",,,movie/film,
black hawk down,[https://www.youtube.com/watch?v=Z7f76iIitHE](https://www.youtube.com/watch?v=Z7f76iIitHE),,,No,"dramatic, tense","action and adventure, drama",,0%,,,144 min,watchlist,"violence,intense violence,war themes","action, drama, war",,,movie/film,
dredd,[https://www.youtube.com/watch?v=ZqJvHjvZP44](https://www.youtube.com/watch?v=ZqJvHjvZP44),,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,95 min,watchlist,"violence,intense violence,crime themes","action, crime, thriller",,,movie/film,
upgrade,[https://www.youtube.com/watch?v=ne0X2SonW8A](https://www.youtube.com/watch?v=ne0X2SonW8A),,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,100 min,watchlist,"violence,intense violence,science fiction","action, thriller",,,movie/film,
sin city,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, crime, thriller",,0%,,,124 min,watchlist,interweaving stories of crime and vengeance in a corrupt city,"action, crime, thriller",,[https://www.youtube.com/watch?v=ExvBqlF3N0c](https://www.youtube.com/watch?v=ExvBqlF3N0c),movie/film,
sin city: a dame to kill for,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, crime, thriller",,0%,,,102 min,watchlist,multiple interconnected tales of vengeance and betrayal in a noir city,"action, crime, thriller",,[https://www.youtube.com/watch?v=rQhb9cH7vX4](https://www.youtube.com/watch?v=rQhb9cH7vX4),movie/film,
john wick 2,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,122 min,watchlist,a retired hitman is forced back into action by a deadly enemy,"action, crime, thriller",,[https://www.youtube.com/watch?v=XGk2EfbD_Ps](https://www.youtube.com/watch?v=XGk2EfbD_Ps),movie/film,
john wick 3 – parabellum,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,131 min,watchlist,john wick fights his way through assassins while being hunted across the world,"action, crime, thriller",,[https://www.youtube.com/watch?v=M7XM597XO94](https://www.youtube.com/watch?v=M7XM597XO94),movie/film,
the matrix reloaded,"intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,138 min,watchlist,neo continues to fight against the machines while uncovering secrets about the matrix,"action, thriller",,[https://www.youtube.com/watch?v=kYzz0FSgpSU](https://www.youtube.com/watch?v=kYzz0FSgpSU),movie/film,
the matrix revolutions,"intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,129 min,watchlist,neo battles to end the war between humans and machines once and for all,"action, thriller",,[https://www.youtube.com/watch?v=9ix7TUGVYIo](https://www.youtube.com/watch?v=9ix7TUGVYIo),movie/film,
the lord of the rings: the fellowship of the ring,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,178 min,watchlist,a hobbit and companions embark on a journey to destroy a powerful ring,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=V75dMMIW2B4](https://www.youtube.com/watch?v=V75dMMIW2B4),movie/film,
the lord of the rings: the two towers,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,179 min,watchlist,the fellowship is divided and faces battles against dark forces in middle-earth,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=LbfMDwc4azU](https://www.youtube.com/watch?v=LbfMDwc4azU),movie/film,
the lord of the rings: the return of the king,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,201 min,watchlist,the final battle to destroy the ring and defeat the dark lord concludes,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=r5X-hFf6Bwo](https://www.youtube.com/watch?v=r5X-hFf6Bwo),movie/film,
star wars: episode iv - a new hope,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,121 min,watchlist,a young hero joins a rebellion to fight an evil empire,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=vZ734NWnAHA](https://www.youtube.com/watch?v=vZ734NWnAHA),movie/film,
star wars: episode v - the empire strikes back,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,124 min,watchlist,a rebellion faces setbacks while the dark lord hunts its heroes,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=JNwNXF9Y6kY](https://www.youtube.com/watch?v=JNwNXF9Y6kY),movie/film,
star wars: episode vi - return of the jedi,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,131 min,watchlist,the heroes launch a final assault to defeat the empire and restore peace,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=5UfA_aKBGMc](https://www.youtube.com/watch?v=5UfA_aKBGMc),movie/film,
star wars: episode i - the phantom menace,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,136 min,watchlist,a young boy with unusual abilities begins training to face an emerging dark threat,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=bD7bpG-zDJQ](https://www.youtube.com/watch?v=bD7bpG-zDJQ),movie/film,
star wars: episode ii - attack of the clones,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,142 min,watchlist,anakin skywalker grows closer to the dark side amid galactic conflict,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=gYbW1F_c9eM](https://www.youtube.com/watch?v=gYbW1F_c9eM),movie/film,
star wars: episode iii - revenge of the sith,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,140 min,watchlist,anakin completes his transformation into the dark lord and the republic falls,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=5UnjrG_N8hU](https://www.youtube.com/watch?v=5UnjrG_N8hU),movie/film,
star wars: episode vii - the force awakens,[https://www.youtube.com/watch?v=sGbxmsDFVnE](https://www.youtube.com/watch?v=sGbxmsDFVnE),,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,138 min,watchlist,"violence,dramatic","action, adventure, fantasy",,,movie/film,
star wars: episode viii - the last jedi,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,152 min,watchlist,the heroes struggle with personal and galactic challenges while the dark side grows stronger,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=Q0CbN8sfihY](https://www.youtube.com/watch?v=Q0CbN8sfihY),movie/film,
star wars: episode ix - the rise of skywalker,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,142 min,watchlist,the final battle concludes as the heroes face the ultimate confrontation with the dark side,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=8Qn_spdM5Zg](https://www.youtube.com/watch?v=8Qn_spdM5Zg),movie/film,
die hard 2,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,124 min,watchlist,john mcclane battles terrorists who have taken over an airport on christmas eve,"action, crime, thriller",,[https://www.youtube.com/watch?v=wjCwPpGRxY8](https://www.youtube.com/watch?v=wjCwPpGRxY8),movie/film,
die hard 3: with a vengeance,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,128 min,watchlist,john mcclane teams with a reluctant partner to stop a bomber threatening new york city,"action, crime, thriller",,[https://www.youtube.com/watch?v=ys3gG0Vx0Hc](https://www.youtube.com/watch?v=ys3gG0Vx0Hc),movie/film,
robocop 2,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,117 min,watchlist,a cybernetic cop must stop a new criminal organization while facing his own past,"action, crime, thriller",,[https://www.youtube.com/watch?v=OQqL3QlsmZ8](https://www.youtube.com/watch?v=OQqL3QlsmZ8),movie/film,
robocop 3,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,104 min,watchlist,robocop continues to fight crime while protecting a group of rebels from corporate oppression,"action, crime, thriller",,[https://www.youtube.com/watch?v=LYu7djLBuUU](https://www.youtube.com/watch?v=LYu7djLBuUU),movie/film,
escape from la,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,101 min,watchlist,a convict must rescue the president’s daughter from a dystopian los angeles,"action, crime, thriller",,[https://www.youtube.com/watch?v=dW_4G7Hvx5c](https://www.youtube.com/watch?v=dW_4G7Hvx5c),movie/film,
hard target,"crime themes, intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,101 min,watchlist,a man becomes the prey in a deadly human hunting game,"action, crime, thriller",,[https://www.youtube.com/watch?v=66lq4i4xr7A](https://www.youtube.com/watch?v=66lq4i4xr7A),movie/film,
true lies,"coarse language, intense violence, violence",,,No,"dramatic, funny","action and adventure, comedy, thriller",,0%,,,141 min,watchlist,a secret agent leads a double life while trying to stop terrorists,"action, comedy, thriller",,[https://www.youtube.com/watch?v=8Chz1VZz62Y](https://www.youtube.com/watch?v=8Chz1VZz62Y),movie/film,
minority report,"intense violence, violence",,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,145 min,watchlist,a detective in a future where crimes are predicted must clear his name for a murder he hasn’t yet committed,"action, thriller",,[https://www.youtube.com/watch?v=5w7j1ZfX1xU](https://www.youtube.com/watch?v=5w7j1ZfX1xU),movie/film,
"i, robot",[https://www.youtube.com/watch?v=sogXqWylW_0](https://www.youtube.com/watch?v=sogXqWylW_0),,,No,"dramatic, tense","action and adventure, sci-fi",,0%,,,115 min,watchlist,"violence,science fiction","action, thriller",,,movie/film,
total recall (2012),[https://www.youtube.com/watch?v=3gVglTXg5yM](https://www.youtube.com/watch?v=3gVglTXg5yM),,,No,"dramatic, tense","action and adventure, sci-fi, thriller",,0%,,,118 min,watchlist,"violence,intense violence,science fiction","action, thriller",,,movie/film,
salt,"intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,100 min,watchlist,a cia agent is accused of being a russian spy and must evade capture while proving her innocence,"action, spy, thriller",,[https://www.youtube.com/watch?v=p5aK9db3Hfw](https://www.youtube.com/watch?v=p5aK9db3Hfw),movie/film,
mission: impossible,"intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,110 min,watchlist,an agent assembles a team to prevent nuclear catastrophe and uncover a mole,"action, spy, thriller",,[https://www.youtube.com/watch?v=a6t91kLJZrA](https://www.youtube.com/watch?v=a6t91kLJZrA),movie/film,
mission: impossible ii,"intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,123 min,watchlist,an agent must retrieve a deadly virus and confront a former rogue agent,"action, spy, thriller",,[https://www.youtube.com/watch?v=YZxAoQ_Nmr8](https://www.youtube.com/watch?v=YZxAoQ_Nmr8),movie/film,
mission: impossible iii,"intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,126 min,watchlist,an agent is forced to rescue his kidnapped trainee while stopping a weapons dealer,"action, spy, thriller",,[https://www.youtube.com/watch?v=QkKO8Z2y6Ik](https://www.youtube.com/watch?v=QkKO8Z2y6Ik),movie/film,
mission: impossible – ghost protocol,"intense violence, violence",,,No,"dramatic, tense","action and adventure, thriller",,0%,,,133 min,watchlist,the team must stop a nuclear extremist while operating without official support,"action, spy, thriller",,[https://www.youtube.com/watch?v=HzZ_urpj4As](https://www.youtube.com/watch?v=HzZ_urpj4As),movie/film,
tarzan (1999),violence,,,No,"dramatic, happy","action and adventure, animated, fantasy",,0%,,,88 min,watchlist,a young man raised by gorillas discovers his human origins and faces a villainous hunter,"action, adventure, family",,[https://www.youtube.com/watch?v=oJabYRfF1yw](https://www.youtube.com/watch?v=oJabYRfF1yw),movie/film,
tarzan (2016),violence,,,No,dramatic,"action and adventure, drama",,0%,,,110 min,watchlist,a retelling of the classic story where tarzan confronts threats to his jungle home,"action, adventure, drama",,[https://www.youtube.com/watch?v=K2uXBmLwGpo](https://www.youtube.com/watch?v=K2uXBmLwGpo),movie/film,
aladdin (2019),violence,,,No,"funny, romantic","action and adventure, fantasy, romance",,0%,,,128 min,watchlist,a street rat discovers a magical lamp and must stop an evil sorcerer,"action, adventure, romance",,[https://www.youtube.com/watch?v=foyufD52aog](https://www.youtube.com/watch?v=foyufD52aog),movie/film,
beauty and the beast (2017),[https://www.youtube.com/watch?v=OvW_L8sTu5E](https://www.youtube.com/watch?v=OvW_L8sTu5E),,,No,"dramatic, romantic","drama, fantasy, romance",,0%,,,129 min,watchlist,"violence,romantic themes","drama, fantasy, romance",,,movie/film,
wonder woman,[https://www.youtube.com/watch?v=VSB4wGIdDwo](https://www.youtube.com/watch?v=VSB4wGIdDwo),,,No,dramatic,"action and adventure, fantasy",,0%,,,141 min,watchlist,"violence,intense violence,war themes","action, adventure, superhero",,,movie/film,
batman begins,[https://www.youtube.com/watch?v=neY2xVmOfUM](https://www.youtube.com/watch?v=neY2xVmOfUM),,,No,dramatic,"action and adventure, thriller",,0%,,,140 min,watchlist,"violence,intense violence","action, superhero, thriller",,,movie/film,
star wars: episode vi - return of the jedi,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,131 min,watchlist,the heroes launch a final assault to defeat the empire and restore peace,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=5UfA_aKBGMc](https://www.youtube.com/watch?v=5UfA_aKBGMc),movie/film,
"the chronicles of narnia: the lion, the witch and the wardrobe",violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,143 min,watchlist,four siblings enter a magical world to defeat an evil witch,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=bxO8g5AKqHM](https://www.youtube.com/watch?v=bxO8g5AKqHM),movie/film,
the chronicles of narnia: prince caspian,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,150 min,watchlist,the children return to narnia to help prince caspian reclaim his throne,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=ekajI4jZ-Kg](https://www.youtube.com/watch?v=ekajI4jZ-Kg),movie/film,
the chronicles of narnia: the voyage of the dawn treader,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,113 min,watchlist,children join a voyage to explore uncharted islands and face dark forces,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=4tXHsHa9i7A](https://www.youtube.com/watch?v=4tXHsHa9i7A),movie/film,
the hunger games: catching fire,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, thriller",,0%,,,146 min,watchlist,katniss must survive the deadly games while facing political conspiracies,"action, adventure, thriller",,[https://www.youtube.com/watch?v=eaW0tYpxyp0](https://www.youtube.com/watch?v=eaW0tYpxyp0),movie/film,
the hunger games: mockingjay - part 1,"intense violence, violence",,,No,"dramatic, serious, tense","action and adventure, drama, thriller",,0%,,,123 min,watchlist,katniss becomes the symbol of rebellion against the capitol,"action, adventure, drama",,[https://www.youtube.com/watch?v=JA8ZHP9D8q0](https://www.youtube.com/watch?v=JA8ZHP9D8q0),movie/film,
the hunger games: mockingjay - part 2,"intense violence, violence",,,No,"dramatic, serious, tense","action and adventure, drama, thriller",,0%,,,137 min,watchlist,katniss leads a final assault on the capitol to overthrow the oppressive regime,"action, adventure, drama",,[https://www.youtube.com/watch?v=yzJcL1jqAgY](https://www.youtube.com/watch?v=yzJcL1jqAgY),movie/film,
avatar: the way of water,violence,,,No,dramatic,"action and adventure, fantasy, sci-fi",,0%,,,192 min,watchlist,jake sully and the na’vi face new threats while exploring the oceans of pandora,"action, adventure",,[https://www.youtube.com/watch?v=d9MyW72ELq0](https://www.youtube.com/watch?v=d9MyW72ELq0),movie/film,
king kong (2005),"intense violence, violence",,,No,dramatic,"action and adventure, drama, fantasy",,0%,,,187 min,watchlist,an expedition captures a giant ape and faces danger on skull island,"action, adventure, drama",,[https://www.youtube.com/watch?v=jm9g3n1t8xg](https://www.youtube.com/watch?v=jm9g3n1t8xg),movie/film,
kong: skull island,"intense violence, violence",,,No,dramatic,"action and adventure, fantasy",,0%,,,118 min,watchlist,explorers encounter kong and other monsters on a mysterious island,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=v7MGUNV8MxU](https://www.youtube.com/watch?v=v7MGUNV8MxU),movie/film,
the adventures of tintin,violence,,,No,funny,"action and adventure, animated",,0%,,,107 min,watchlist,tintin and his dog snowy uncover a treasure while facing criminals,"action, adventure, family",,[https://www.youtube.com/watch?v=1-3BBa1E-Tk](https://www.youtube.com/watch?v=1-3BBa1E-Tk),movie/film,
the secret life of walter mitty,violence,,,No,"funny, happy","action and adventure, comedy, drama",,0%,,,114 min,watchlist,a man escapes his mundane life through imaginative adventures,"action, adventure, drama",,[https://www.youtube.com/watch?v=QD6cy4PBQPI](https://www.youtube.com/watch?v=QD6cy4PBQPI),movie/film,
national treasure,violence,,,No,"dramatic, funny","action and adventure, comedy, thriller",,0%,,,131 min,watchlist,a historian hunts hidden treasure while evading a rival group,"action, adventure, thriller",,[https://www.youtube.com/watch?v=VY6cN7jGmHg](https://www.youtube.com/watch?v=VY6cN7jGmHg),movie/film,
national treasure: book of secrets,violence,,,No,dramatic,"action and adventure, thriller",,0%,,,124 min,watchlist,the treasure hunter seeks clues to clear his family name and find hidden artifacts,"action, adventure, thriller",,[https://www.youtube.com/watch?v=8kXpuv4I2F8](https://www.youtube.com/watch?v=8kXpuv4I2F8),movie/film,
the mask of zorro,"intense violence, violence",,,No,"dramatic, romantic","action and adventure, romance",,0%,,,136 min,watchlist,a young man takes up the mantle of zorro to fight injustice and protect the innocent,"action, adventure, romance",,[https://www.youtube.com/watch?v=Kj1K4a7qtT0](https://www.youtube.com/watch?v=Kj1K4a7qtT0),movie/film,
the legend of zorro,"intense violence, violence",,,No,"dramatic, romantic","action and adventure, romance",,0%,,,129 min,watchlist,zorro must stop a plot against california while balancing love and heroism,"action, adventure, romance",,[https://www.youtube.com/watch?v=tGbNsk4l_Lk](https://www.youtube.com/watch?v=tGbNsk4l_Lk),movie/film,
robin hood (2010),"intense violence, violence",,,No,"dramatic, romantic","action and adventure, romance",,0%,,,140 min,watchlist,robin hood fights injustice and falls in love while leading a rebellion,"action, adventure, romance",,[https://www.youtube.com/watch?v=vgvk_fkwYk8](https://www.youtube.com/watch?v=vgvk_fkwYk8),movie/film,
robin hood: prince of thieves,"intense violence, violence",,,No,"dramatic, romantic","action and adventure, romance",,0%,,,143 min,watchlist,robin hood returns from the crusades to protect the poor and fight corruption,"action, adventure, romance",,[https://www.youtube.com/watch?v=bjuqi0yWhbc](https://www.youtube.com/watch?v=bjuqi0yWhbc),movie/film,
peter pan (2003),violence,,,No,funny,"action and adventure, fantasy",,0%,,,113 min,watchlist,peter pan takes wendy and her brothers to neverland to fight captain hook,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=0kHmwvY6i7Y](https://www.youtube.com/watch?v=0kHmwvY6i7Y),movie/film,
hook,violence,,,No,funny,"action and adventure, comedy, fantasy",,0%,,,142 min,watchlist,a grown-up peter pan returns to neverland to save his children,"action, adventure, comedy",,[https://www.youtube.com/watch?v=LtCm87g6iu8](https://www.youtube.com/watch?v=LtCm87g6iu8),movie/film,
journey to the center of the earth (2008),violence,,,No,dramatic,"action and adventure, sci-fi",,0%,,,93 min,watchlist,a scientist and his nephew explore a hidden world beneath the earth,"action, adventure",,[https://www.youtube.com/watch?v=0XfFdlJrYjY](https://www.youtube.com/watch?v=0XfFdlJrYjY),movie/film,
journey 2: the mysterious island,violence,,,No,funny,"action and adventure, comedy, sci-fi",,0%,,,94 min,watchlist,explorers discover a mysterious island filled with strange creatures,"action, adventure",,[https://www.youtube.com/watch?v=au8efcoM4mI](https://www.youtube.com/watch?v=au8efcoM4mI),movie/film,
"20,000 leagues under the sea",violence,,,No,dramatic,"action and adventure, sci-fi",,0%,,,127 min,watchlist,crew aboard the nautilus faces underwater dangers and mysteries,"action, adventure",,[https://www.youtube.com/watch?v=NXJMLm0TP98](https://www.youtube.com/watch?v=NXJMLm0TP98),movie/film,
treasure island,violence,,,No,dramatic,"action and adventure, fantasy",,0%,,,115 min,watchlist,a young boy embarks on a quest for hidden pirate treasure,"action, adventure, fantasy",,[https://www.youtube.com/watch?v=8w0mRk5Jt9s](https://www.youtube.com/watch?v=8w0mRk5Jt9s),movie/film,
the call of the wild (2020),violence,,,No,dramatic,"action and adventure, drama",,0%,,,100 min,watchlist,a domesticated dog must survive in the wild during the gold rush,"action, adventure, drama",,[https://www.youtube.com/watch?v=QzM8qQuQd2s](https://www.youtube.com/watch?v=QzM8qQuQd2s),movie/film,
the call of the wild (1935),violence,,,No,dramatic,"action and adventure, drama",,0%,,,90 min,watchlist,a loyal dog faces survival challenges in the yukon wilderness,"action, adventure, drama",,[https://www.youtube.com/watch?v=FhSkXrOXzzI](https://www.youtube.com/watch?v=FhSkXrOXzzI),movie/film,
labyrinth,violence,,,No,funny,"comedy, fantasy",,0%,,,101 min,watchlist,a young girl navigates a magical labyrinth to rescue her brother from a goblin king,"adventure, comedy, fantasy",,[https://www.youtube.com/watch?v=0H8gkHwKZPA](https://www.youtube.com/watch?v=0H8gkHwKZPA),movie/film,
red cliff,"intense violence, violence",,,No,dramatic,"action and adventure, drama, historical",,0%,,,180 min,watchlist,generals unite to defend china during the battle of red cliff,"action, drama, war",,[https://www.youtube.com/watch?v=Xb8ka1QhJjU](https://www.youtube.com/watch?v=Xb8ka1QhJjU),movie/film,
the last samurai,"intense violence, violence",,,No,dramatic,"action and adventure, drama, historical",,0%,,,154 min,watchlist,a soldier learns samurai ways and fights to protect japan from modernization,"action, drama, war",,[https://www.youtube.com/watch?v=IuWk1NNW3OM](https://www.youtube.com/watch?v=IuWk1NNW3OM),movie/film,
seven years in tibet,violence,,,No,"dramatic, educational","action and adventure, drama, historical",,0%,,,136 min,watchlist,a mountaineer befriends the dalai lama while exploring tibet during world war ii,"action, biopic, drama",,[https://www.youtube.com/watch?v=36E7N9Xkb6A](https://www.youtube.com/watch?v=36E7N9Xkb6A),movie/film,
apocalypto,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,139 min,watchlist,a young man must survive capture and escape during the decline of the mayan civilization,"action, drama, thriller",,[https://www.youtube.com/watch?v=PIuH0iLw7yo](https://www.youtube.com/watch?v=PIuH0iLw7yo),movie/film,
master and commander: the far side of the world,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,138 min,watchlist,a british captain pursues a french warship during the napoleonic wars,"action, drama, war",,[https://www.youtube.com/watch?v=3VzK6jA6YvM](https://www.youtube.com/watch?v=3VzK6jA6YvM),movie/film,
the man in the iron mask,"intense violence, violence",,,No,"dramatic, tense","action and adventure, drama, historical",,0%,,,132 min,watchlist,a mysterious prisoner holds a secret that could alter the throne of france,"action, drama, thriller",,[https://www.youtube.com/watch?v=5OdN6ptSkM8](https://www.youtube.com/watch?v=5OdN6ptSkM8),movie/film,
